months,source,leadsbysource,conversionbysource
January,Justdail,599,300
January,Urbanpro,600,400
January,Tadaay,503,350
January,Walkin,836,550
February,Justdail,1601,600
February,Urbanpro,1942,800
February,Tadaay,1000,900
February,Walkin,2760,1000
March,Justdail,2449,2000
March,Urbanpro,3013,2500
March,Tadaay,2550,1000
March,Walkin,3246,1500
April,Justdail,3520,2000
April,Urbanpro,3827,2500
April,Tadaay,4269,3000
April,Walkin,5522,4000
May,Justdail,5911,4000
May,Urbanpro,3827,2000
May,Tadaay,4269,4000
May,Walkin,5522,4000
June,Justdail,5911,4000
June,Urbanpro,3827,2000
June,Tadaay,4269,4000
June,Walkin,5522,4000
July,Justdail,5911,4000
July,Urbanpro,3827,2000
July,Tadaay,4269,4000
July,Walkin,5522,4000
August,Justdail,5911,4000
August,Urbanpro,3827,4000
August,Tadaay,4269,4000
August,Walkin,5522,4000
September,Justdail,5911,4000
September,Urbanpro,3827,4000
September,Tadaay,4269,4000
September,Walkin,5522,4000
October,Justdail,5911,4000
October,Urbanpro,3827,4000
October,Tadaay,4269,4000
October,Walkin,5522,4000
November,Justdail,5911,4000
November,Urbanpro,3827,4000
November,Tadaay,4269,4000
November,Walkin,5522,4000
December,Justdail,5911,4000
December,Urbanpro,3827,4000
December,Tadaay,4269,4000
December,Walkin,5522,4000
